,city,colleges,colleges_count,state_code,city_state
262,Waverly,['Wartburg College'],1,IA,"Waverly, IA"
263,Baldwin City,['Baker University'],1,KS,"Baldwin City, KS"
264,Emporia,['Emporia State University'],1,KS,"Emporia, KS"
265,Hays,['Fort Hays State University'],1,KS,"Hays, KS"
266,Kansas City,"['Donnelly College', 'Kansas Christian College', 'University of Kansas Medical Center']",3,KS,"Kansas City, KS"
267,Lawrence,"['University of Kansas', 'Haskell Indian Nations University']",2,KS,"Lawrence, KS"
268,Manhattan,"['Kansas State University', 'Manhattan Christian College']",2,KS,"Manhattan, KS"
269,Olathe,['MidAmerica Nazarene University'],1,KS,"Olathe, KS"
270,Overland Park,"['Ottawa University adult campus', 'University of Kansas-Edwards Campus', 'Baker University Overland Park Campus', 'Emporia State University - Overland Park Campus (Metro Learning Center)', 'Kansas Christian College', 'Rasmussen College']",6,KS,"Overland Park, KS"
271,Ottawa,['Ottawa University'],1,KS,"Ottawa, KS"
272,Pittsburg,['Pittsburg State University'],1,KS,"Pittsburg, KS"
273,Topeka,"['Washburn University', 'Friends University', 'Washburn Institute of Technology', 'Baker University']",4,KS,"Topeka, KS"
274,Wichita,"['Wichita State University (WSU)', 'Friends University', 'Newman University', 'University of Kansas School of Medicine']",4,KS,"Wichita, KS"
275,Barbourville,['Union College'],1,KY,"Barbourville, KY"
276,Berea,['Berea College'],1,KY,"Berea, KY"
277,Bowling Green,['Western Kentucky University'],1,KY,"Bowling Green, KY"
278,Campbellsville,['Campbellsville University'],1,KY,"Campbellsville, KY"
279,Columbia,['Lindsey Wilson College'],1,KY,"Columbia, KY"
280,Crestview Hills,['Thomas More University'],1,KY,"Crestview Hills, KY"
281,Danville,"['Centre College', 'Bluegrass Community and Technical College', 'Eastern Kentucky University', 'Midway University', 'American National University']",5,KY,"Danville, KY"
282,Frankfort,['Kentucky State University'],1,KY,"Frankfort, KY"
283,Georgetown,['Georgetown College'],1,KY,"Georgetown, KY"
284,Grayson,['Kentucky Christian University'],1,KY,"Grayson, KY"
285,Highland Heights,['Northern Kentucky University'],1,KY,"Highland Heights, KY"
286,Lexington,"['University of Kentucky', 'Transylvania University']",2,KY,"Lexington, KY"
287,Louisville,"['University of Louisville', 'Bellarmine University', 'Simmons College of Kentucky', 'Spalding University', 'Sullivan University']",5,KY,"Louisville, KY"
288,Midway,['Midway University'],1,KY,"Midway, KY"
289,Morehead,['Morehead State University'],1,KY,"Morehead, KY"
290,Murray,['Murray State University'],1,KY,"Murray, KY"
291,Owensboro,"['Brescia University', 'Kentucky Wesleyan College', 'Western Kentucky University-Owensboro']",3,KY,"Owensboro, KY"
292,Pikeville,['University of Pikeville'],1,KY,"Pikeville, KY"
293,Richmond,['Eastern Kentucky University'],1,KY,"Richmond, KY"
294,Williamsburg,['University of the Cumberlands'],1,KY,"Williamsburg, KY"
295,Wilmore,"['Asbury University', 'Asbury Theological Seminary']",2,KY,"Wilmore, KY"
296,Baton Rouge,"['Louisiana State University', 'Southern University and A&M College', 'Southern University Law Center']",3,LA,"Baton Rouge, LA"
297,Grambling,['Grambling State University'],1,LA,"Grambling, LA"
298,Hammond,['Southeastern Louisiana University'],1,LA,"Hammond, LA"
299,Lafayette,['University of Louisiana at Lafayette'],1,LA,"Lafayette, LA"
300,Metairie,[],0,LA,"Metairie, LA"
301,Monroe,['University of Louisiana at Monroe'],1,LA,"Monroe, LA"
302,Natchitoches,['Northwestern State University'],1,LA,"Natchitoches, LA"
303,Ruston,['Louisiana Tech University'],1,LA,"Ruston, LA"
304,Shreveport,['Southern University at Shreveport'],1,LA,"Shreveport, LA"
305,Thibodaux,['Nicholls State University'],1,LA,"Thibodaux, LA"
306,Augusta,['University of Maine at Augusta'],1,ME,"Augusta, ME"
307,Bangor,['University of Maine'],1,ME,"Bangor, ME"
308,Bar Harbor,['College of the Atlantic'],1,ME,"Bar Harbor, ME"
309,Biddeford,['University of New England'],1,ME,"Biddeford, ME"
310,Brunswick,['Bowdoin College'],1,ME,"Brunswick, ME"
311,Farmington,['University of Maine at Farmington'],1,ME,"Farmington, ME"
312,Fort Kent,['University of Maine at Fort Kent'],1,ME,"Fort Kent, ME"
313,Gorham,['University of Southern Maine'],1,ME,"Gorham, ME"
314,Lewiston,['Bates College'],1,ME,"Lewiston, ME"
315,Machias,['University of Maine at Machias'],1,ME,"Machias, ME"
316,Orono,['University of Maine'],1,ME,"Orono, ME"
317,Portland,"['Maine College of Art', 'University of Maine School of Law', 'University of New England', 'Westbrook College', 'University of Southern Maine']",5,ME,"Portland, ME"
318,Presque Isle,['University of Maine at Presque Isle'],1,ME,"Presque Isle, ME"
319,Waterville,"['Thomas College', 'Colby College']",2,ME,"Waterville, ME"
320,Annapolis,"['United States Naval Academy', ""St. John's College""]",2,MD,"Annapolis, MD"
321,Chestertown,['Washington College'],1,MD,"Chestertown, MD"
322,College Park,"['University of Maryland, College Park']",1,MD,"College Park, MD"
323,Columbia,"['University of Phoenix', 'Lincoln Technical Institute', 'Loyola University Maryland', 'University of Maryland, Baltimore County', 'Maryland University of Integrative Health', 'Johns Hopkins University']",6,MD,"Columbia, MD"
324,Cumberland,['Allegany College of Maryland'],1,MD,"Cumberland, MD"
325,Emmitsburg,"[""Mount St. Mary's University""]",1,MD,"Emmitsburg, MD"
326,Frostburg,['Frostburg State University'],1,MD,"Frostburg, MD"
327,Germantown,['Montgomery College'],1,MD,"Germantown, MD"
328,Princess Anne,['University of Maryland Eastern Shore'],1,MD,"Princess Anne, MD"
329,Salisbury,['Salisbury University'],1,MD,"Salisbury, MD"
330,Silver Spring,"['Montgomery College', 'Howard University']",2,MD,"Silver Spring, MD"
331,Takoma Park,"['Washington Adventist University', 'Montgomery College']",2,MD,"Takoma Park, MD"
332,Towson,"['Towson University', 'Goucher College']",2,MD,"Towson, MD"
333,Westminster,['McDaniel College'],1,MD,"Westminster, MD"
334,Bridgewater,['Bridgewater State College'],1,MA,"Bridgewater, MA"
335,Brookline,"['Pine Manor College', 'Hellenic College', 'Newbury College']",3,MA,"Brookline, MA"
336,Cambridge,"['Harvard University', 'Massachusetts Institute of Technology', 'Lesley University', 'Cambridge College', 'Longy School of Music']",5,MA,"Cambridge, MA"
337,Dartmouth,['University of Massachusetts Dartmouth'],1,MA,"Dartmouth, MA"
338,Fitchburg,['Fitchburg State College'],1,MA,"Fitchburg, MA"
339,Framingham,['Framingham State University'],1,MA,"Framingham, MA"
340,Leicester,['Becker College'],1,MA,"Leicester, MA"
341,Lowell,['University of Massachusetts Lowell'],1,MA,"Lowell, MA"
342,Medford,['Tufts University'],1,MA,"Medford, MA"
343,Milton,"['Curry College', 'Labouré College']",2,MA,"Milton, MA"
344,Newton,"['Boston College Law School', 'Hebrew College', 'Mount Ida College', 'Lasell College', 'William James College', 'Chestnut Hill', 'Boston College']",7,MA,"Newton, MA"
345,North Adams,['Massachusetts College of Liberal Arts'],1,MA,"North Adams, MA"
346,Quincy,['Eastern Nazarene College'],1,MA,"Quincy, MA"
347,Somerville,['Tufts University'],1,MA,"Somerville, MA"
348,Springfield,"['American International College', 'Springfield College', 'Western New England College']",3,MA,"Springfield, MA"
349,Waltham,"['Bentley University', 'Brandeis University']",2,MA,"Waltham, MA"
350,Wellesley,['Wellesley College'],1,MA,"Wellesley, MA"
351,Westfield,['Westfield State University'],1,MA,"Westfield, MA"
352,Williamstown,['Williams College'],1,MA,"Williamstown, MA"
353,Adrian,"['Adrian College', 'Siena Heights University']",2,MI,"Adrian, MI"
354,Albion,['Albion College'],1,MI,"Albion, MI"
355,Allendale,['Grand Valley State University'],1,MI,"Allendale, MI"
356,Alma,['Alma College'],1,MI,"Alma, MI"
357,Ann Arbor,"['Concordia University', 'Cleary University', 'University of Michigan']",3,MI,"Ann Arbor, MI"
358,Berrien Springs,['Andrews University'],1,MI,"Berrien Springs, MI"
359,Big Rapids,['Ferris State University'],1,MI,"Big Rapids, MI"
360,Dearborn,"['University of Michigan–Dearborn', 'Henry Ford College', 'Concordia University Dearborn Center', 'Central Michigan University']",4,MI,"Dearborn, MI"
361,East Lansing,['Michigan State University'],1,MI,"East Lansing, MI"
362,Flint,"['Kettering University', 'University of Michigan-Flint']",2,MI,"Flint, MI"
363,Howell,['Cleary University'],1,MI,"Howell, MI"
364,Grand Rapids,"['Aquinas College', 'Calvin College', 'Cornerstone University', 'Kuyper College', 'Thomas M. Cooley Law School', 'Northwood University', 'Grand Valley State University', 'Ferris State University', 'Western Michigan University', 'Michigan State University']",10,MI,"Grand Rapids, MI"
365,Hillsdale,['Hillsdale College'],1,MI,"Hillsdale, MI"
366,Holland,['Hope College'],1,MI,"Holland, MI"
367,Houghton,['Michigan Technological University'],1,MI,"Houghton, MI"
368,Kalamazoo,"['Western Michigan University', 'Kalamazoo College']",2,MI,"Kalamazoo, MI"
369,Lansing,['Western Michigan University Cooley Law School'],1,MI,"Lansing, MI"
370,Marquette,['Northern Michigan University'],1,MI,"Marquette, MI"
371,Midland,['Northwood University'],1,MI,"Midland, MI"
372,Mount Pleasant,['Central Michigan University'],1,MI,"Mount Pleasant, MI"
373,Olivet,['Olivet College'],1,MI,"Olivet, MI"
374,Saginaw,['Saginaw Valley State University'],1,MI,"Saginaw, MI"
375,Sault Ste. Marie,['Lake Superior State University'],1,MI,"Sault Ste. Marie, MI"
376,Spring Arbor,['Spring Arbor University'],1,MI,"Spring Arbor, MI"
377,Sterling Heights,[],0,MI,"Sterling Heights, MI"
378,Ypsilanti,['Eastern Michigan University'],1,MI,"Ypsilanti, MI"
379,Warren,"['Davenport University', 'Central Michigan University', 'Wayne State University']",3,MI,"Warren, MI"
380,Bemidji,['Bemidji State University'],1,MN,"Bemidji, MN"
381,Crookston,['University of Minnesota Crookston'],1,MN,"Crookston, MN"
382,Duluth,"['University of Minnesota Duluth', 'Lake Superior College', 'The College of St. Scholastica', 'University of Wisconsin–Superior', 'Duluth Business University']",5,MN,"Duluth, MN"
383,Faribault,['South Central College'],1,MN,"Faribault, MN"
384,Mankato,"['Minnesota State University, Mankato']",1,MN,"Mankato, MN"
385,Marshall,['Southwest Minnesota State University'],1,MN,"Marshall, MN"
386,Moorhead,"['Minnesota State University, Moorhead', 'Concordia College']",2,MN,"Moorhead, MN"
387,Morris,['University of Minnesota Morris'],1,MN,"Morris, MN"
388,Northfield,"['Carleton College', 'St. Olaf College']",2,MN,"Northfield, MN"
389,North Mankato,['South Central College'],1,MN,"North Mankato, MN"
390,Pine City,['Pine Technical and Community College'],1,MN,"Pine City, MN"
391,Rochester,['Mayo Clinic Alix School of Medicine'],1,MN,"Rochester, MN"
392,Saint Cloud,"['St. Cloud State University', 'The College of St. Scholastica']",2,MN,"Saint Cloud, MN"
393,Saint Joseph,['College of Saint Benedict'],1,MN,"Saint Joseph, MN"
394,Saint Paul,"['Saint Catherine University', 'Concordia University', 'Hamline University', 'Macalester College', 'University of St. Thomas', 'Metropolitan State University', 'Saint Paul College', 'Mitchell Hamline School of Law']",8,MN,"Saint Paul, MN"
395,Saint Peter,['Gustavus Adolphus College'],1,MN,"Saint Peter, MN"
396,Winona,"['Winona State University', ""St. Mary's University of Minnesota""]",2,MN,"Winona, MN"
397,Blue Mountain,['Blue Mountain College'],1,MS,"Blue Mountain, MS"
398,Clinton,['Mississippi College'],1,MS,"Clinton, MS"
399,Columbus,['Mississippi University for Women'],1,MS,"Columbus, MS"
400,Hattiesburg,['University of Southern Mississippi'],1,MS,"Hattiesburg, MS"
401,Holly Springs,['Rust College'],1,MS,"Holly Springs, MS"
402,Itta Bena,['Mississippi Valley State University'],1,MS,"Itta Bena, MS"
403,Jackson,"['Jackson State University', 'Millsaps College', 'Belhaven University', 'Mississippi College School of Law']",4,MS,"Jackson, MS"
404,Laurel,['Southeastern Baptist College'],1,MS,"Laurel, MS"
405,Oxford,['University of Mississippi'],1,MS,"Oxford, MS"
406,Southaven,"['University of Mississippi', 'Northwest Mississippi Community College']",2,MS,"Southaven, MS"
407,Starkville,['Mississippi State University'],1,MS,"Starkville, MS"
408,Tougaloo,['Tougaloo College'],1,MS,"Tougaloo, MS"
409,Bolivar,['Southwest Baptist University'],1,MO,"Bolivar, MO"
410,Cape Girardeau,['Southeast Missouri State University'],1,MO,"Cape Girardeau, MO"
411,Columbia,"['University of Missouri', 'Stephens College', 'Columbia College']",3,MO,"Columbia, MO"
412,Fayette,['Central Methodist University'],1,MO,"Fayette, MO"
413,Fulton,"['Westminster College', 'William Woods University']",2,MO,"Fulton, MO"
414,Kirksville,"['Truman State University', 'A. T. Still University']",2,MO,"Kirksville, MO"
415,Maryville,['Northwest Missouri State University'],1,MO,"Maryville, MO"
416,Rolla,['Missouri University of Science and Technology'],1,MO,"Rolla, MO"
417,Warrensburg,['University of Central Missouri'],1,MO,"Warrensburg, MO"
418,Billings,"['Montana State University Billings', 'Rocky Mountain College', 'Yellowstone Baptist College']",3,MT,"Billings, MT"
419,Bozeman,['Montana State University'],1,MT,"Bozeman, MT"
420,Butte,['Montana Tech'],1,MT,"Butte, MT"
421,Dillon,['University of Montana Western'],1,MT,"Dillon, MT"
422,Great Falls,"['University of Great Falls', 'Great Falls College Montana State University']",2,MT,"Great Falls, MT"
423,Havre,['Montana State University–Northern'],1,MT,"Havre, MT"
424,Helena,"['Carroll College', 'Helena College University of Montana']",2,MT,"Helena, MT"
425,Missoula,['University of Montana'],1,MT,"Missoula, MT"
426,Bellevue,['Bellevue University'],1,NE,"Bellevue, NE"
427,Chadron,['Chadron State College'],1,NE,"Chadron, NE"
428,Crete,['Doane College'],1,NE,"Crete, NE"
429,Fremont,['Midland University'],1,NE,"Fremont, NE"
430,Hastings,['Hastings College'],1,NE,"Hastings, NE"
431,Kearney,['University of Nebraska at Kearney'],1,NE,"Kearney, NE"
432,Lincoln,"['University of Nebraska at Lincoln', 'Nebraska Wesleyan University', 'Bryan College of Health Sciences']",3,NE,"Lincoln, NE"
433,Omaha,"['Creighton University', 'Clarkson College', 'College of Saint Mary', 'Grace University', 'Nebraska Methodist College']",5,NE,"Omaha, NE"
434,Peru,['Peru State College'],1,NE,"Peru, NE"
435,Seward,['Concordia University'],1,NE,"Seward, NE"
436,Wayne,['Wayne State College'],1,NE,"Wayne, NE"
437,York,['York College'],1,NE,"York, NE"
438,Henderson,"['Nevada State College', 'National University', 'Roseman University of Health Sciences', 'Touro University Nevada']",4,NV,"Henderson, NV"
439,Incline Village,['Sierra Nevada College'],1,NV,"Incline Village, NV"
440,North Las Vegas,['College of Southern Nevada'],1,NV,"North Las Vegas, NV"
441,Reno,"['University of Nevada, Reno']",1,NV,"Reno, NV"
442,Concord,"[""NHTI, Concord's Community College"", 'Granite State College', 'University of New Hampshire School of Law', 'Franklin Pierce University']",4,NH,"Concord, NH"
443,Durham,['University of New Hampshire'],1,NH,"Durham, NH"
444,Hanover,['Dartmouth College'],1,NH,"Hanover, NH"
445,Henniker,['New England College'],1,NH,"Henniker, NH"
446,Keene,"['Keene State College', 'Antioch University New England']",2,NH,"Keene, NH"
447,Manchester,"['University of New Hampshire at Manchester', 'Southern New Hampshire University', 'New Hampshire Institute of Art', 'Saint Anselm College']",4,NH,"Manchester, NH"
448,New London,['Colby–Sawyer College'],1,NH,"New London, NH"
449,Plymouth,['Plymouth State University'],1,NH,"Plymouth, NH"
450,Rindge,['Franklin Pierce University'],1,NH,"Rindge, NH"
451,Ewing Township,"['The College of New Jersey', 'Rider University']",2,NJ,"Ewing Township, NJ"
452,Jersey City,"['New Jersey City University', ""Saint Peter's University""]",2,NJ,"Jersey City, NJ"
453,Glassboro,['Rowan University'],1,NJ,"Glassboro, NJ"
454,Hoboken,['Stevens Institute of Technology'],1,NJ,"Hoboken, NJ"
455,Madison,"['Drew University', 'Fairleigh Dickinson University', 'College of Saint Elizabeth']",3,NJ,"Madison, NJ"
456,Montclair,['Montclair State University'],1,NJ,"Montclair, NJ"
457,Newark,"['Rutgers University', 'New Jersey Institute of Technology', 'UMDNJ']",3,NJ,"Newark, NJ"
458,New Brunswick,['Rutgers University'],1,NJ,"New Brunswick, NJ"
459,Paterson,[],0,NJ,"Paterson, NJ"
460,Princeton,"['Princeton University', 'Westminster Choir College']",2,NJ,"Princeton, NJ"
461,Ramsey,"['Ramapo College of New Jersey', 'Eastwick College']",2,NJ,"Ramsey, NJ"
462,South Orange,['Seton Hall University'],1,NJ,"South Orange, NJ"
463,Union,['Kean University'],1,NJ,"Union, NJ"
464,West Long Branch,['Monmouth University'],1,NJ,"West Long Branch, NJ"
465,Albuquerque,"['University of New Mexico', 'Southwest University of Visual Arts', 'Southwestern Indian Polytechnic Institute', 'Trinity Southwest University', 'University of St. Francis', 'St. Norbert College', 'New Mexico State University', 'Highlands University', 'Lewis University', 'Wayland Baptist University', 'Webster University', 'Brookline College', 'Pima Medical Institute', 'National American University', 'Grand Canyon University', 'University of Phoenix']",16,NM,"Albuquerque, NM"
466,Hobbs,['University of the Southwest'],1,NM,"Hobbs, NM"
467,Las Cruces,['New Mexico State University'],1,NM,"Las Cruces, NM"
468,Las Vegas,['New Mexico Highlands University'],1,NM,"Las Vegas, NM"
469,Portales,['Eastern New Mexico University'],1,NM,"Portales, NM"
470,Rio Rancho,[],0,NM,"Rio Rancho, NM"
471,Silver City,['Western New Mexico University'],1,NM,"Silver City, NM"
472,Socorro,['New Mexico Institute of Mining and Technology'],1,NM,"Socorro, NM"
473,Albany,"['SUNY Albany', 'Siena College', 'Albany College of Pharmacy', 'Albany Law School', 'Albany Medical College', 'College of Saint Rose', 'Excelsior College', 'Maria College of Albany', 'Mildred Elley', 'Sage College of Albany']",10,NY,"Albany, NY"
474,Alfred,"['Alfred University', 'Alfred State College']",2,NY,"Alfred, NY"
475,Aurora,['Wells College'],1,NY,"Aurora, NY"
476,Johnson City,['Binghamton University'],1,NY,"Johnson City, NY"
477,Brockport,['SUNY Brockport'],1,NY,"Brockport, NY"
478,Canton,"['St. Lawrence University', 'SUNY Canton']",2,NY,"Canton, NY"
479,Clinton,['Hamilton College'],1,NY,"Clinton, NY"
480,Cortland,['State University of New York at Cortland'],1,NY,"Cortland, NY"
481,Cobleskill,['SUNY Cobleskill'],1,NY,"Cobleskill, NY"
482,Delhi,['SUNY Delhi'],1,NY,"Delhi, NY"
483,Fredonia,['SUNY Fredonia'],1,NY,"Fredonia, NY"
484,Geneseo,['SUNY Geneseo'],1,NY,"Geneseo, NY"
485,Geneva,['Hobart and William Smith Colleges'],1,NY,"Geneva, NY"
486,Hamilton,['Colgate University'],1,NY,"Hamilton, NY"
487,Ithaca,"['Cornell University', 'Ithaca College']",2,NY,"Ithaca, NY"
488,Newburgh,['Mount Saint Mary College'],1,NY,"Newburgh, NY"
489,New Paltz,['SUNY New Paltz'],1,NY,"New Paltz, NY"
490,New Rochelle,['Iona College'],1,NY,"New Rochelle, NY"
491,Oneonta,"['SUNY Oneonta', 'Hartwick College']",2,NY,"Oneonta, NY"
492,Oswego,['SUNY Oswego'],1,NY,"Oswego, NY"
493,Plattsburgh,['SUNY Plattsburgh'],1,NY,"Plattsburgh, NY"
494,Potsdam,"['SUNY Potsdam', 'Clarkson University']",2,NY,"Potsdam, NY"
495,Poughkeepsie,"['Vassar College', 'Marist College']",2,NY,"Poughkeepsie, NY"
496,Purchase,"['Purchase College', 'Manhattanville College']",2,NY,"Purchase, NY"
497,Rochester,"['University of Rochester', 'Rochester Institute of Technology', 'Nazareth College', 'St. John Fisher College', 'Monroe Community College', 'Roberts Wesleyan College', 'SUNY Brockport', 'SUNY Empire State College']",8,NY,"Rochester, NY"
498,Saratoga Springs,['Skidmore College'],1,NY,"Saratoga Springs, NY"
499,Schenectady,"['Union College', 'Schenectady County Community College']",2,NY,"Schenectady, NY"
500,Seneca Falls,['New York Chiropractic College'],1,NY,"Seneca Falls, NY"
501,Stony Brook,['Stony Brook University'],1,NY,"Stony Brook, NY"
502,Syracuse,"['Syracuse University', 'SUNY ESF', 'Upstate Medical University', 'Le Moyne College']",4,NY,"Syracuse, NY"
503,Tivoli,['Bard College'],1,NY,"Tivoli, NY"
504,Troy,"['Rensselaer Polytechnic Institute', 'Russell Sage College', 'Hudson Valley Community College']",3,NY,"Troy, NY"
505,Valhalla,['New York Medical College'],1,NY,"Valhalla, NY"
506,Highland Falls,['United States Military Academy'],1,NY,"Highland Falls, NY"
507,Yonkers,['Sarah Lawrence College'],1,NY,"Yonkers, NY"
508,Asheville,"['Shaw University', 'Lenoir-Rhyne University', 'University of North Carolina at Asheville']",3,NC,"Asheville, NC"
509,Banner Elk,['Lees-McRae College'],1,NC,"Banner Elk, NC"
510,Belmont,['Belmont Abbey College'],1,NC,"Belmont, NC"
511,Boiling Springs,['Gardner-Webb University'],1,NC,"Boiling Springs, NC"
512,Boone,['Appalachian State University'],1,NC,"Boone, NC"
513,Brevard,['Brevard College'],1,NC,"Brevard, NC"
514,Buies Creek,['Campbell University'],1,NC,"Buies Creek, NC"
515,Chapel Hill,['University of North Carolina at Chapel Hill'],1,NC,"Chapel Hill, NC"
516,Cullowhee,['Western Carolina University'],1,NC,"Cullowhee, NC"
517,Davidson,['Davidson College'],1,NC,"Davidson, NC"
518,Durham,"['Duke University', 'North Carolina Central University']",2,NC,"Durham, NC"
519,Elizabeth City,['Mid-Atlantic Christian University'],1,NC,"Elizabeth City, NC"
520,Elon,['Elon University'],1,NC,"Elon, NC"
521,Fayetteville,['Methodist University'],1,NC,"Fayetteville, NC"
522,Greensboro,"['University of North Carolina at Greensboro', 'Greensboro College', 'Guilford College', 'North Carolina A & T State University', 'Bennett College', 'Elon University School of Law']",6,NC,"Greensboro, NC"
523,Greenville,['East Carolina University'],1,NC,"Greenville, NC"
524,Hickory,['Lenoir-Rhyne University'],1,NC,"Hickory, NC"
525,High Point,['High Point University'],1,NC,"High Point, NC"
526,Laurinburg,['St. Andrews University'],1,NC,"Laurinburg, NC"
527,Mars Hill,['Mars Hill College'],1,NC,"Mars Hill, NC"
528,Misenheimer,['Pfeiffer University'],1,NC,"Misenheimer, NC"
529,Montreat,['Montreat College'],1,NC,"Montreat, NC"
530,Mount Olive,['Mount Olive College'],1,NC,"Mount Olive, NC"
531,Murfreesboro,['Chowan University'],1,NC,"Murfreesboro, NC"
532,Pembroke,['University of North Carolina at Pembroke'],1,NC,"Pembroke, NC"
533,Raleigh,"['North Carolina State University', 'Campbell University', 'Norman Adrian Wiggins School of Law', 'Meredith College', 'William Peace University', 'Shaw University', ""St. Augustine's University""]",7,NC,"Raleigh, NC"
534,Rocky Mount,['North Carolina Wesleyan College'],1,NC,"Rocky Mount, NC"
535,Salisbury,['Catawba College'],1,NC,"Salisbury, NC"
536,Wilmington,['University of North Carolina at Wilmington'],1,NC,"Wilmington, NC"
537,Wilson,['Barton College '],1,NC,"Wilson, NC"
538,Wingate,['Wingate University'],1,NC,"Wingate, NC"
539,Winston-Salem,"['Wake Forest University', 'University of North Carolina School of the Arts', 'Salem College', 'Winston-Salem State University']",4,NC,"Winston-Salem, NC"
540,Bismarck,"['University of Mary', 'Rasmussen College']",2,ND,"Bismarck, ND"
541,Dickinson,['Dickinson State University'],1,ND,"Dickinson, ND"
542,Fargo,['North Dakota State University'],1,ND,"Fargo, ND"
543,Grand Forks,['University of North Dakota'],1,ND,"Grand Forks, ND"
544,Jamestown,['University of Jamestown'],1,ND,"Jamestown, ND"
545,Mayville,['Mayville State University'],1,ND,"Mayville, ND"
546,Minot,['Minot State University'],1,ND,"Minot, ND"
547,Valley City,['Valley City State University'],1,ND,"Valley City, ND"
548,Ada,['Ohio Northern University'],1,OH,"Ada, OH"
549,Akron,['University of Akron'],1,OH,"Akron, OH"
550,Alliance,['University of Mount Union'],1,OH,"Alliance, OH"
551,Ashland,['Ashland University'],1,OH,"Ashland, OH"
552,Athens,['Ohio University'],1,OH,"Athens, OH"
553,Berea,['Baldwin Wallace College'],1,OH,"Berea, OH"
554,Bluffton,['Bluffton University'],1,OH,"Bluffton, OH"
